一级分类,二级分类,原始链接名称,原始链接URL,状态,RSS/候选名称,RSS/候选URL,备注,来源信息分类,是否模型相关,是否推理加速相关,是否智能体系统相关,是否AI应用相关,是否设备供应商相关,是否通信服务提供商相关,是否云基础设施相关,是否硬件（芯片和硬件热点新闻）相关,是否基础竞争力相关,Folo复核状态,Folo复核标题,Folo复核RSS,Folo复核站点,Folo复核条目数,Folo复核备注,Folo复核时间,FoloCLI补充状态,FoloCLI补充标题,FoloCLI补充RSS,FoloCLI补充条目数,FoloCLI补充备注
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,36氪 - AI,https://36kr.com/information/AI,未确认,36æ°ª,https://36kr.com/feed,AI 专题页,行业新闻,弱相关,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,36æ°ª,https://36kr.com/feed,http://36kr.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:38:46,,,,,
运营商 / 通信媒体,,AT&T Newsroom,https://about.att.com/newsroom.html,未确认,,,暂未找到稳定文章 RSS,通信服务供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:42:18,,,,,
学术 / 研究,,Google AI Blog 旧址,https://ai.googleblog.com,候选,Google AI RSS,https://blog.google/technology/ai/rss/,旧地址已迁移，建议改用新址,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,AI,https://blog.google/technology/ai/rss/,https://blog.google/innovation-and-ai/technology/ai/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:45:11,,,,,
AI / 科技媒体,,Meta AI Blog,https://ai.meta.com/blog/,未确认,AI at Meta Blog,rsshub://meta/ai/blog,`discover` 命中不稳定,技术博客,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:34:28,discover_only,AI at Meta Blog,rsshub://meta/ai/blog,,Folo discover 命中候选；当前 feed get 未直接解析 route。
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Snap Lens Studio,https://ar.snap.com/news,未确认,ar,https://ar.snap.com/feed,AR 新闻页,设备供应商动态,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,不涉及,强相关,不涉及,已确认,ar,https://ar.snap.com/feed,https://ar.snap.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:55:52,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Ars Technica - AI,https://arstechnica.com/ai/,未确认,AI â Ars Technica,https://arstechnica.com/ai/feed,新增 AI 专题页,行业新闻,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,AI â Ars Technica,https://arstechnica.com/ai/feed,https://arstechnica.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:45:00,,,,,
AI / 科技媒体,,Ars Technica AI,https://arstechnica.com/tag/ai/,未确认,AI - Ars Technica,https://arstechnica.com/tag/ai/feed,暂未找到稳定文章 RSS,行业新闻,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,AI - Ars Technica,https://arstechnica.com/tag/ai/feed,https://arstechnica.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:34:37,,,,,
学术 / 研究,,arXiv cs.AI,https://arxiv.org/list/cs.AI/recent,已确认,cs.AI RSS,https://rss.arxiv.org/rss/cs.AI,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,arXiv cs.CL,https://arxiv.org/list/cs.CL/recent,已确认,cs.CL RSS,https://rss.arxiv.org/rss/cs.CL,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,arXiv cs.CV,https://arxiv.org/list/cs.CV/recent,已确认,cs.CV RSS,https://rss.arxiv.org/rss/cs.CV,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,arXiv cs.LG,https://arxiv.org/list/cs.LG/recent,已确认,cs.LG RSS,https://rss.arxiv.org/rss/cs.LG,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,arXiv cs.NE,https://arxiv.org/list/cs.NE/recent,已确认,cs.NE RSS,https://rss.arxiv.org/rss/cs.NE,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
学术 / 研究,,arXiv cs.RO,https://arxiv.org/list/cs.RO/recent,已确认,cs.RO RSS,https://rss.arxiv.org/rss/cs.RO,论文流,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,arXiv - cs / new,https://arxiv.org/list/cs/new,未确认,,,学科总目录页,学术论文,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:44:58,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,AWS Blog root,https://aws.amazon.com/,非文章页,AWS Blog Feed,https://aws.amazon.com/blogs/aws/feed/,原始链接是站点首页，建议改用已确认博客 feed,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,弱相关,,,,,,,,,,,,
企业 / 云,,AWS Blogs,https://aws.amazon.com/blogs/,已确认,AWS Blog Feed,https://aws.amazon.com/blogs/aws/feed/,官方博客,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,,,,,,,,,,,,
企业 / 云,,Azure Blog,https://azure.microsoft.com/en-us/blog/,已确认,Azure Blog Feed,https://azure.microsoft.com/en-us/blog/feed/,官方博客,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,,,,,,,,,,,,
AI / 科技媒体,,Azure AI Category,https://azure.microsoft.com/en-us/blog/category/artificial-intelligence/,候选,Azure Blog Feed,https://azure.microsoft.com/en-us/blog/feed/,只确认到总博客 feed，不是 AI 分类专属,云厂商,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,已确认,Microsoft Azure Blog,https://azure.microsoft.com/en-us/blog/feed/,https://azure.microsoft.com/en-us/blog/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:35:02,,,,,
AI / 科技媒体,,Google AI Blog,https://blog.google/technology/ai/,已确认,Google AI RSS,https://blog.google/technology/ai/rss/,官方博客,技术博客,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
AI / 科技媒体,,LangChain Blog,https://blog.langchain.dev/,已确认,LangChain RSS,https://blog.langchain.dev/rss/,官方博客,技术博客,不涉及,不涉及,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Cisco Security Blog,https://blogs.cisco.com/security,未确认,Cisco Blogs,https://blogs.cisco.com/feed,安全博客分类页,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,弱相关,不涉及,已确认,Cisco Blogs,https://blogs.cisco.com/feed,https://blogs.cisco.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:47:07,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Microsoft AI Blog,https://blogs.microsoft.com/ai/,未确认,AI - Source,https://news.microsoft.com/source/topics/ai/feed/,Microsoft AI / Copilot 博客,技术博客,强相关,不涉及,弱相关,强相关,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,AI - Source,https://news.microsoft.com/source/topics/ai/feed/,https://news.microsoft.com/source/topics/ai/,4,Official Microsoft Source AI topic feed.,2026-04-26T09:46:01,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,NVIDIA Blogs,https://blogs.nvidia.com/,已确认,NVIDIA Blog Feed,https://blogs.nvidia.com/feed/,官方博客首页可对应已验证 feed,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
企业 / 云,,VMware Blogs,https://blogs.vmware.com/,已确认,VMware Feed,https://blogs.vmware.com/feed,官方博客,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,强相关,,,,,,,,,,,,
企业 / 云,,Google Cloud Blog,https://cloud.google.com/blog/,已确认,GCP RSS,https://cloudblog.withgoogle.com/products/gcp/rss/,官方博客,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Google Cloud Telco Blog,https://cloud.google.com/blog/topics/telecommunications,候选,GCP RSS,https://cloudblog.withgoogle.com/products/gcp/rss/,只确认到 GCP 总 feed，不是电信专题专属,云厂商,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,强相关,已确认,Google Cloud,https://cloudblog.withgoogle.com/products/gcp/rss/,https://cloud.google.com/blog/products/gcp/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:37:31,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Intel Community,https://community.intel.com/t5/Intel/ct-p/intel,非文章页,,,社区论坛页,设备供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,阿里达摩院,https://damo.alibaba.com/,非文章页,,,机构主页，不是文章 RSS 页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Data Center POST,https://datacenterpost.com/,未确认,Data Center POST,https://datacenterpost.com/feed/,数据中心媒体,行业新闻,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,强相关,强相关,不涉及,已确认,Data Center POST,https://datacenterpost.com/feed/,https://datacenterpost.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:38:09,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Google DeepMind Blog,https://deepmind.google/discover/blog/,未确认,Google DeepMind News,https://deepmind.google/blog/feed,官方博客入口,技术博客,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,已确认,Google DeepMind News,https://deepmind.google/blog/feed,https://deepmind.google/blog/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:45:29,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,Google DeepMind Research,https://deepmind.google/research/,未确认,Google DeepMind News,https://deepmind.google/blog/rss.xml,研究索引页,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:56:33,verified,Google DeepMind News,https://deepmind.google/blog/rss.xml,4,官方替代源：DeepMind Blog feed。
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,DEV Community - top / week,https://dev.to/top/week,非文章页,,,排行榜页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,NVIDIA Developer Blog,https://developer.nvidia.com/blog/,未确认,NVIDIA Technical Blog,https://developer.nvidia.com/blog/feed,CUDA / 推理优化博客,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,强相关,已确认,NVIDIA Technical Blog,https://developer.nvidia.com/blog/feed,https://developer.nvidia.com/blog,4,Confirmed by Folo feeds lookup.,2026-04-26T09:52:02,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,IT之家 - Discovery / Invention,https://discovery.ithome.com/invention,未确认,,,频道页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:40:30,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,OpenClaw Docs,https://docs.openclaw.ai,非文章页,,,文档站，不是文章 RSS 场景,技术博客,不涉及,不涉及,强相关,强相关,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,Green AI Newsletter,https://energy%20Efficient.ai/newsletter,未确认,,,原始 URL 含空格，需人工修正,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:36:58,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,新浪科技 - AI,https://finance.sina.com.cn/tech/,未确认,,,科技频道页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:38:33,,,,,
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,Frontend Focus - issue 736,https://frontendfoc.us/issues/736,非文章页,,,单期 newsletter 页面,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,GitHub Weekly Rank,https://github.com/OpenGithubs/github-weekly-rank,非文章页,,,GitHub 仓库页,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
开源 / 平台,,GitHub Trending,https://github.com/trending,非文章页,,,趋势榜，不纳入文章 RSS,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
开源 / 平台,,GitLab Explore,https://gitlab.com/explore,非文章页,,,探索页，不纳入文章 RSS,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
运营商 / 通信媒体,,SoftBank News,https://group.softbank/en/news/,未确认,,,暂未找到稳定文章 RSS,通信服务供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:34:44,,,,,
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,Hacker News - AI 24h,https://hn.algolia.com/api/v1/search?query=AI&tags=story&hitsPerPage=30,非文章页,,,JSON API，不是 RSS 页,行业新闻,弱相关,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
开源 / 平台,,Docker Hub,https://hub.docker.com,非文章页,,,镜像目录，不是文章页,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Hugging Face Blog,https://huggingface.co/blog,候选,Hugging Face Blog Feed,https://huggingface.co/blog/feed.xml,已命中博客 feed 候选，待最终确认,开源动态,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,已确认,Hugging Face - Blog,https://huggingface.co/blog/feed.xml,https://huggingface.co/blog,4,Confirmed by Folo feeds lookup.,2026-04-26T01:37:02,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,Hugging Face - blog tag,https://huggingface.co/blog?tag=open-source-collab,候选,Hugging Face Blog Feed,https://huggingface.co/blog/feed.xml,标签页，当前只拿到总站 blog feed,开源动态,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,已确认,Hugging Face - Blog,https://huggingface.co/blog/feed.xml,https://huggingface.co/blog,4,Confirmed by Folo feeds lookup.,2026-04-26T09:46:08,,,,,
开源 / 平台,,Hugging Face Models,https://huggingface.co/models,非文章页,Hugging Face Blog Feed,https://huggingface.co/blog/feed.xml,原始页是模型目录，不是文章页,开源动态,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,Hugging Face Papers,https://huggingface.co/papers,非文章页,,,论文聚合目录页,开源动态,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
芯片 / 硬件,,AMD News Releases,https://ir.amd.com/news-releases,已确认,AMD RSS,https://ir.amd.com/rss/news-releases.xml,官方新闻稿,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,IT之家 - IT业界,https://it.ithome.com/ityejie,未确认,,,频道页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:48:50,,,,,
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,掘金 AI,https://juejin.cn/ai?sort=newest,未确认,,,社区 AI 文章列表页,行业新闻,不涉及,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:44:34,,,,,
v5.0 配置补充（新增 URL）,社区 / API / 社交 / 目录,掘金 - frontend,https://juejin.cn/frontend?sort=newest,未确认,掘金 前端,rsshub://juejin/category/frontend,社区文章列表页,行业新闻,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:56:22,discover_only,掘金 前端,rsshub://juejin/category/frontend,,Folo discover 命中候选；当前 feed get 未直接解析 route。
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,Apple Machine Learning,https://machinelearning.apple.com/,未确认,Apple Machine Learning Research,https://machinelearning.apple.com/rss.xml,研究或论文文章页,学术论文,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,Apple Machine Learning Research,https://machinelearning.apple.com/rss.xml,https://machinelearning.apple.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:44:35,,,,,
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,AutoGPT Blog,https://news.agpt.co/,未确认,AutoGPT,https://autogpt.net/feed/,官方新闻或博客页,技术博客,不涉及,不涉及,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,强相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:45:11,verified,AutoGPT,https://autogpt.net/feed/,4,官方 RSS。
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,AI Base 日报,https://news.aibase.com/zh/daily,未确认,AI新闻资讯,rsshub://aibase/news,AI 日报页,行业新闻,强相关,不涉及,弱相关,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:47:59,discover_only,AI新闻资讯,rsshub://aibase/news,,Folo discover 命中候选；当前 feed get 未直接解析 route。
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,AI Base 新闻,https://news.aibase.com/zh/news,未确认,AI新闻资讯,rsshub://aibase/news,AI 新闻页,行业新闻,强相关,不涉及,弱相关,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:38:51,discover_only,AI新闻资讯,rsshub://aibase/news,,Folo discover 命中候选；当前 feed get 未直接解析 route。
AI / 科技媒体,,MIT AI Topic,https://news.mit.edu/topic/artificial-intelligence2,已确认,MIT AI RSS,https://news.mit.edu/rss/topic/artificial-intelligence2,主题文章流,行业新闻,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
芯片 / 硬件,,Samsung Semiconductor News,https://news.samsung.com/global/semiconductor,已确认,Samsung Semiconductor Feed,https://news.samsung.com/global/category/semiconductor/feed,官方分类文章流,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
芯片 / 硬件,,SK hynix News,https://news.skhynix.com/,已确认,SK hynix Feed,https://news.skhynix.com/feed/,官方新闻,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
AI / 科技媒体,,Hacker News,https://news.ycombinator.com,已确认,HN RSS,https://news.ycombinator.com/rss,官方 RSS,行业新闻,弱相关,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
企业 / 云,,Cisco Newsroom,https://newsroom.cisco.com/,未确认,Cisco Blogs,https://blogs.cisco.com/feed,暂未找到稳定文章 RSS,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,弱相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:41:42,verified,Cisco Blogs,https://blogs.cisco.com/feed,4,官方替代源：Cisco Blogs 总 feed。
企业 / 云,,IBM Newsroom,https://newsroom.ibm.com/,已确认,IBM Announcements RSS,https://newsroom.ibm.com/announcements?pagetemplate=rss,官方新闻,云厂商,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Intel Newsroom,https://newsroom.intel.com/,未确认,Newsroom,https://newsroom.intel.com/feed,新闻主页,设备供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,已确认,Newsroom,https://newsroom.intel.com/feed,https://newsroom.intel.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:44:13,,,,,
芯片 / 硬件,,NVIDIA Newsroom,https://nvidianews.nvidia.com,已确认（替代）,NVIDIA Blog Feed,https://blogs.nvidia.com/feed/,官方博客流，不是 newsroom 原生 feed,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,NVIDIA Newsroom - latest,https://nvidianews.nvidia.com/news/latest,已确认（替代）,NVIDIA Blog Feed,https://blogs.nvidia.com/feed/,已确认可用的是 NVIDIA 博客 feed,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
AI / 科技媒体,,OpenAI Index,https://openai.com/index/,已确认,OpenAI News RSS,https://openai.com/news/rss.xml,官方新闻,技术博客,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,OpenAI - research / release,https://openai.com/research/index/release,未确认,OpenAI News,https://openai.com/news/rss.xml,研究发布索引页,学术论文,强相关,弱相关,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:56:55,verified,OpenAI News,https://openai.com/news/rss.xml,4,官方替代源：OpenAI News feed。
